Time,ROI,Whole,Back
0,827.097,268.7007,31.06433
0.309,827.341,262.7955,29.53091
0.618,830.452,271.1074,28.95906
0.927,815.627,262.7048,29.77611
1.236,847.361,259.0287,29.93609
1.545,821.317,259.5279,32.08146
1.858,809.602,258.5504,31.13325
2.167,802.691,258.9561,32.83751
2.476,816.99,257.2399,30.57101
2.785,793.169,258.6534,28.70342
3.094,816.841,254.3261,31.03509
3.403,799.193,256.4013,31.36049
3.712,770.417,255.4019,31.87218
4.025,821.692,256.3234,30.6015
4.334,755.057,242.7426,31.5919
4.643,794.184,248.4936,30.55597
4.952,735.876,240.9961,28.88513
5.261,748.541,233.9252,32.05973
5.57,776.106,248.9786,31.12364
5.883,748.43,240.9794,30.50334
6.32,327.839,237.7009,30.15915
6.629,201.655,245.3693,30.07602
7.059,249.553,230.8303,33.3066
7.369,249.469,234.5169,32.11696
7.678,246.24,239.5261,29.94528
7.991,266.281,233.3448,31.25773
8.3,281.025,228.459,29.80117
8.609,275.219,232.5804,30.52297
8.918,262.23,230.3162,31.78321
9.227,258.255,232.0094,33.56308
9.536,254.832,233.5001,28.87469
9.849,245.59,235.7894,32.00418
10.158,283.912,235.2943,30.03175
10.467,268.188,225.9298,30.60025
10.776,275.796,217.8771,32.57686
11.085,255.663,229.4896,31.42899
11.394,245.191,222.7068,32.50794
11.703,280.629,223.9678,30.50209
12.016,273.079,221.194,28.57018
12.325,280.619,226.6984,30.79783
12.634,276.913,222.1041,29.86884
12.943,259.47,216.8801,29.37093
13.252,247.192,219.4037,29.52882
13.561,260.84,215.4345,30.75522
13.874,263.931,225.0501,31.17711
14.183,267.653,233.7164,28.632
14.492,277.91,228.0282,28.98037
14.801,281.386,224.4446,30.48329
15.11,261.13,226.3567,30.33292
15.419,283.3,219.6169,31.80827
15.728,247.349,224.6856,30.31454
16.041,284.924,227.8152,29.44319
16.35,284.296,219.5587,29.96241
16.659,271.225,220.7419,27.93191
16.969,261.369,214.1435,32.59607
17.278,286.554,220.8237,27.85673
17.587,275.665,218.6337,26.46491
17.9,278.761,216.8391,27.77402
18.209,280.685,217.8074,28.83542
18.518,275.136,222.4227,30.38137
18.827,246.744,213.9619,29.42398
19.136,270.788,218.0669,28.4386
19.445,278.208,216.9899,30.10025
19.754,248.516,217.8349,29.4812
20.067,267.891,222.2757,32.5472
20.376,272.781,219.8506,28.08479
20.685,257.001,217.1227,28.27861
20.994,268.101,215.9655,29.57519
21.303,298.566,212.5123,30.52966
21.612,273.103,209.2956,27.24227
21.925,258.44,209.1096,31.60401
22.234,273.287,214.7295,28.65706
26.237,303.297,216.4131,31.13325
30.237,316.965,219.9392,28.41312
34.237,347.032,221.9313,29.80409
38.238,334.264,234.2266,28.29323
42.237,308.916,234.9959,29.45572
46.238,307.931,243.2646,29.67001
50.238,323.822,250.7774,30.46241
54.239,347.624,248.5217,27.42857
58.239,320.132,243.8902,29.33584
62.239,367.697,253.234,27.76149
66.239,360.079,250.2484,29.78906
70.24,339.075,245.602,25.92648
74.24,393.974,256.9768,27.84754
78.239,354.111,238.8495,29.80994
82.24,391.293,242.8688,28.80159
86.24,401.365,252.0853,29.52548
90.241,395.036,248.5537,29.97076
94.24,395.528,250.8386,30.66541
98.241,411.52,247.4566,28.65205
102.241,432.356,246.9057,28.25815
106.242,461.572,229.4813,28.98872
110.242,465.719,226.5123,28.95614
114.242,487.703,233.8913,27.89474
118.242,474.87,237.9195,27.82456
122.242,503.226,234.2173,30.17084
126.243,449.541,238.5049,28.60067
130.242,462.772,234.1133,28.61571
134.243,489.007,235.0236,28.89557
138.243,528.463,232.0321,29.1792
142.244,518.23,236.4057,29.53342
146.244,495.812,233.8845,28.65581
150.244,524.85,230.8395,30.2477
154.244,511.481,228.8401,31.23433
158.244,544.293,226.6901,32.48454
162.245,541.002,227.1181,29.93943
166.244,580.913,230.3287,28.70802
170.245,555.424,232.2895,30.19716
174.245,553.623,233.752,28.82874
178.246,607.843,228.693,28.21345
182.245,604.267,230.2464,31.23058
186.246,592.005,226.8898,28.67544
190.246,628.394,230.6307,30.46992
194.247,634.413,236.2276,30.29992
198.247,635.043,234.3199,28.24812
202.246,640.849,229.285,29.74269
206.247,618.642,232.0516,29.6746
210.247,650.321,229.4962,28.11278
214.248,637.636,225.9563,30.36174
218.247,644.815,227.785,28.71763
222.248,649.168,229.4054,28.68713
