X,Y
0.00000,0.000
0.08019,0.000
0.16038,0.000
0.24057,0.000
0.32077,0.000
0.40096,0.000
0.48115,0.000
0.56134,0.000
0.64153,0.000
0.72172,26.827
0.80191,98.401
0.88210,176.888
0.96230,254.796
1.04249,326.466
1.12268,386.500
1.20287,429.209
1.28306,445.364
1.36325,439.401
1.44344,419.857
1.52364,394.711
1.60383,371.900
1.68402,358.000
1.76421,356.294
1.84440,371.893
1.92459,404.929
2.00478,451.973
2.08498,505.905
2.16517,556.791
2.24536,593.250
2.32555,609.207
2.40574,601.847
2.48593,574.126
2.56612,535.197
2.64631,495.143
2.72651,467.917
2.80670,456.833
2.88689,456.852
2.96708,458.282
3.04727,453.852
3.12746,440.597
3.20765,426.723
3.28785,418.874
3.36804,417.250
3.44823,416.463
3.52842,407.769
3.60861,388.969
3.68880,358.986
3.76899,324.968
3.84918,288.434
3.92938,248.167
4.00957,196.612
4.08976,134.276
4.16995,65.844
4.25014,13.061
4.33033,0.245
4.41052,0.000
4.49072,0.000
4.57091,0.000
4.65110,0.000
4.73129,0.000
4.81148,0.000
4.89167,0.000
4.97186,0.000
5.05205,0.000
